The Shawshank Redemption|1994|18|142|Drama|Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.|the_shawshank_redemption_1994.jpg
The Dark Knight|2008|12|152|Action, Crime, Drama|When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.|the_dark_knight_2008.jpg
Inception|2010|12|148|Action, Adventure, Sci-Fi|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.|inception_2010.jpg
Amélie|2001|18|122|Comedy, Romance|Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.|amélie_2001.jpg
Fight Club|1999|18|139|Drama|An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.|fight_club_1999.jpg
Pulp Fiction|1994|18|154|Crime, Drama|The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.|pulp_fiction_1994.jpg
Forrest Gump|1994|12|142|Drama, Romance|The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.|forrest_gump_1994.jpg
The Lord of the Rings: The Fellowship of the Ring|2001|12|178|Adventure, Drama, Fantasy|A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.|the_lord_of_the_rings_the_fellowship_of_the_ring_2001.jpg
The Matrix|1999|18|136|Action, Sci-Fi|A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.|the_matrix_1999.jpg
The Lord of the Rings: The Return of the King|2003|12|201|Action, Adventure, Drama|Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.|the_lord_of_the_rings_the_return_of_the_king_2003.jpg
The Dark Knight Rises|2012|12|164|Action, Thriller|Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.|the_dark_knight_rises_2012.jpg
